Kanji,English Meaning,Onyomi(chinese origin),Kunyomi(japanese origin),JLPT N5 Vocab with Kanji,Google Translate
一,One,"ichi, itsu,","hito(tsu), hito","一人 (one person, alone)",one
二,Two,ni,"futa(tsu), futa","二人 (two people, pair)",two
三,Three,san,"mit(tsu), mi",三日 (3rd day of the month),three
四,Four,shi,"yo(tsu), yo, yon",四日 (4th day of the month),four
五,Five,go,"itsu(tsu), itsu",五日 (5th day of the month),Five
六,Six,roku,"mut(tsu), mu",六日 (6th day of the month),Six
七,Seven,shichi,"nana(tsu), nana",七日 (7th day of the month),Seven
八,Eight,hachi,"yat(tsu), ya",八日 (8th day of the month),Eight
九,Nine,"kyuu, ku","kokono(tsu), kokono",九日 (9th day of the month),Nine
十,Ten,"juu, ji","tou, to",十日 (10th day of the month),Ten
百,Hundred,hyaku,,百万円 (1 million Yen),hundred
千,Thousand,sen,chi,千万円 (10 million Yen),thousand
万,Ten thousand,"man, ban",,万年筆 (fountain pen),Ten thousand
円,"Yen, circle, and round",en,maru(i),円い (round),Circle
日,"Day, sun","nichi, jitsu","hi, ka",明日 (tomorrow),Day
週,Week,shuu,,毎週 (every week),week
月,"Month, moon","getsu, gatsu",tsuki,月曜日 (Monday),Moon
年,Year,nen,toshi,"今年 (this year), 去年 (last year)",Year
時,"Time, hour",ji,toki,"時計 (clock, watch)",Time
間,"Time frame, span of time","kan, ken",aida,"時間 (time, hours)",while
分,"Minute, part, to understand, to divide","bun, bu, fun",wa(karu),"三十分 (thirty minutes), 自分 (oneself)",Part
午,Noon,go,,"午前 (morning, A.M.)",Noon
前,Before,zen,mae,名前 (name),Previous
後,"After, later, behind","go, kou",ato,"午後 (afternoon, P.M.)",rear
今,Now,"kon, kin",ima,"今晩 (this evening), 今朝 (this morning)",now
先,"Before, ahead, future",sen,saki,"先週 (last week), 先生 (teacher, master)",Precedence
来,To come,rai,ku(ru),"来月 (next month), 来る (to come)",Coming
半,"Half, middle",han,naka(ba),半分 (half),half
毎,"Every, each",mai,,毎日(every day),every
何,"What, which, how many",ka,"nan, nani",何曜日 (what day of the week),what
人,Person,"jin, nin",hito,人々 (people),Man
男,"Man, boy, male","dan, nan",otoko,男の子 (boy),Man
女,"Woman, girl, female","jo, nyo","onna, me",女の子 (girl),woman
子,Child,"shi, su",ko,子供 (child),Child
母,Mother,bo,haha,母 (mother),mother
父,Father,fu,chichi,父 (father),father
友,Friend,yuu,tomo,友達 (friend),friend
火,Fire,ka,hi,火曜日 (Tuesday),fire
水,Water,sui,mizu,水曜日 (Wednesday),water
木,"Tree, wood","moku, boku","ki, ko",木曜日 (Thursday),wood
土,"Earth, ground","do, to",tsuchi,土曜日 (Saturday),soil
金,"Money, gold","kin, kon",kane,金曜日 (Friday),Money
本,"Book, source",hon,moto,日本語 (Japanese),Book
川,River,sen,kawa,川 (river),river
花,Flower,ka,hana,花火 (fireworks),flower
気,Spirit,"ki, ke",,"元気 (healthy, spirit, fine)",air
生,"Life, to live, to be born, to grow","sei, shou","i(kiru), u(mareru), ha(yasu)",生徒 (pupil),Raw
魚,Fish,gyo,sakana,魚 (fish),fish
天,Heaven,ten,"ame, ama",天気 (weather),Heaven
空,"Sky, empty",kuu,"sora, a(keru)",空 (sky),Sky
山,Mountain,san,yama,山 (mountain),Mountain
雨,Rain,u,ame,雨 (rain),rain
電,Electricity,den,,電気 (electricity),Electricity
車,"Car, vehicle",sha,kuruma,電車 (electric train),car
語,"Language, word, to chat",go,kata(ru),英語 (English),word
耳,Ear,ji,mimi,耳 (ear),ear
手,Hand,shu,te,手紙 (letter),hand
足,"Foot, to add",soku,"ashi, ta(su)",足 (foot),leg
目,Eye,moku,me,目 (eye),eye
口,Mouth,"kou, ku",kuchi,出口 (exit),mouth
名,Name,"mei, myou",na,名前 (name),Name
店,Shop,ten,mise,喫茶店 (coffee shop),shop
駅,Station,eki,,駅前 (in front of the station),station
道,"Street, path, way",dou,michi,道具 (tool),road
社,"Shrine, society",sha,yashiro,社長 (president of a company),Shrine
国,Country,koku,kuni,外国人 (foreigner),Country
外,Outside,"gai, ge","soto, hazu(reru), hoka",外国 (foreign country),Outside
学,"School, learning",gaku,mana(bu),大学 (university),Learning
校,School,kou,,学校 (school),school
上,"Up, above","shou, jou","ue, u, a(geru)",上着 (jacket),Up
下,"Down, below","ka, ge","ku(daru), shita",靴下 (socks),under
中,"Middle, center, inner, between",chuu,naka,"日中 (during the day, midday)",During ~
北,North,hoku,kita,北 (north),North
西,West,"sai, sei",nishi,西 (west),West
東,East,tou,higashi,東京 (Tokyo),east
南,South,nan,minami,南 (south),South
右,Right,yuu,migi,右 (right),right
左,Left,sa,hidari,左 (left),left
見,"To see, to be visible, to show",ken,mi(ru),見せる (to show),You see
聞,"To hear, to listen, to ask","mon, bun",ki(ku),"聞く (to listen, to hear)",Hearing
書,To write,sho,ka(ku),辞書 (dictionary),book
読,To read,doku,yo(mu),読む (to read),Reading
話,"To talk, conversation",wa,"hanashi, hana(su)",電話 (telephone),Talk
買,To buy,bai,ka(u),買い物 (shopping),Buying
行,"To go, to carry out",kou,"i(ku), okona(u)",銀行 (bank),line
出,"To go out, to leave",shutsu,"de(ru), da(su)",出かける (to go out),Out
入,"To enter, to put in",nyuu,"hai(ru), i(reru)",入口 (entrance),Entering
休,"To rest, break, holiday, vacation",kyuu,"yasu(mu), yasu(mi)",休む (to take a day off),Rest
食,"To eat, food",shoku,ta(beru),食堂 (dining room),Food
飲,"To drink, a drink",in,no(mu),飲み物 (beverage),Drinking
言,"To talk, word","gen, gon",i(u),言う (to say),Word
立,To stand,ritsu,ta(tsu),立つ (to stand),Standing up
会,"To meet, society","kai, e",a(u),会社 (company),Meeting
多,"A lot, many",ta,oo(i),"多い (many), 多分 (probably)",Many
少,"A little, few",shou,"suko(shi), suku(nai)",少ない (few),Few
古,Old,ko,furu(i),古い (old),Old
新,New,shin,atara(shii),"新しい (new), 新聞 (newspaper)",new
大,"Big, a lot","dai, tai",oo(kii),"大きい (big), 大変 (dreadful, immense)",Big
小,"Little, small",shou,"chii(sai), ko",小さい (little),small
安,"Cheap, safety, peace",an,yasu(i),安い (cheap),Cheapness
高,"Expensive, high",kou,taka(i),高い (expensive),High
長,"Long, leader",chou,naga(i),"長い (long), 部長 (manager)",Long
白,White,"haku, byaku","shiro, shiro(i)","白い (white), 面白い (interesting)",White
